name,accession_id
Ascosphaera apis,GCA_001636715.1	
Ustilago hordei,GCA_900519145.1
Sporobolomyces roseus,GCA_050403445.1
Cryptococcus neoformans,GCA_000149245.3
Coprinopsis cinerea,GCA_000182895.1
Schizophyllum commune,GCA_000143185.2
Aureobasidium pullulans,GCA_000721785.1
Pneumocystis carinii,GCA_001477545.1
Kluyveromyces dobzhanskii,GCA_000820885.1
Kluyveromyces marxianus var. marxianus,GCA_001417885.1
Saccharomyces cerevisiae,GCA_000146045.2
Zygosaccharomyces rouxii,GCA_000026365.1
Hanseniaspora uvarum,GCA_050947715.1
Clavispora lusitaniae,GCA_014636115.1
Wickerhamomyces anomalus,GCA_001661255.1
